glyph,phonetic,family,pinyin,cantonese,on,kun,korean,vietnamese
㚫,,,sà,saap3,,,,
㚬,匀,匀,jūn,gwan1,,,,
㚭,,,yóu,zaau4,,,,
㚮,冗,冗,,daam1,,,,
㚯,風,風,xín,cam4,,,,
㚰,丕,不,pēi,pui1,,,,
㚱,丘,丘,qiū,zaau1,,,,
㚲,,,chān,sim1,,,,
㚳,,,,o1,,,,
㚴,布,父,bù,bou3,,,,
㚵,冬,冬,dōng,dung1,,,,
㚶,㠯,㠯,sì,ci5,,,,
㚷,,,ěr,nai5,,,,
㚸,司,司,,si1,,,,
㚹,卯,卯,mǎo,mau5,,,,
㚺,孕,孕,yùn,zaan6,,,,
㚻,,,jī,gei1,,,,
㚼,,,,naau2,,,,
㚽,巧,工,qiǎo,haau2,,,,
㚾,兄,兄,xiōng,,,,,
㚿,,,páo,pau4,,,,
㛀,刍,刍,chú,,,,,
㛁,平,平,pēng,ping1,,,,
㛂,,,nuǒ,,,,,
㛃,㓞,丯,jié,git3,,,결,
㛄,,,yī,zi1,,,의,
㛅,,,èr,nei6,,,이,
㛆,朶,朶,duò,do2,,,,
㛇,庄,庄,,zong1,,,,
㛈,考,丂,,haau2,,,,
㛉,,,,,,,,
㛊,朵,几,duǒ,do2,,,,
㛋,,,,,,,,
㛌,,,,,,,,
㛍,,,qiè,hap6,,,,
㛎,吕,吕,lǚ,leoi5,,,,
㛏,,,qiú,kau4,,,,
㛐,更,丙,sǒu,sou2,,,,
㛑,,,càn,caan3,,,,
㛒,,,dòu,daau2 daau6 zaau6,,,,
㛓,希,㐅,xī,ci1 dou1 hei1,,,,
㛔,夆,丰,fēng,fung1,,,,
㛕,,,yì,zaap1,,,,
㛖,,,suō,so1 zo6,,,,
㛗,坐,坐,qiē,so1,,,,
㛘,孛,孛,pò,but6,,,,
㛙,,,xīn,san1,,,,
㛚,甬,用,tǒng,tung2,,,,
㛛,,,xìn,saan1 zaan3,,,,
㛜,攸,攸,yóu,zaau4,,,,
㛝,,,bèi,bui3,,,,
㛞,弄,弄,lòng,lung6,,,,
㛟,奂,,,,,,,
㛠,间,,,,,,,
㛡,完,元,,wan6,,,,
㛢,秀,秀,,sau3,,,,
㛣,員,囗,yún,,,,,
㛤,丽,丽,lí,,,,,
㛥,沓,沓,tà,dap6,,,,
㛦,,,lǎn,lam5,,,람,
㛧,岩,岩,mǎn,mun5,,,,
㛨,羌,羊,qiǎng,goeng2,,,,
㛩,育,肉,zhóu,zuk6,,,,
㛪,奄,奄,yàn,aam1 gim1 him1 zim1,,,,em
㛫,,,xī,sek3,,,,
㛬,坴,圥,lù,luk6,,,,
㛭,昔,昔,xī,sik1 sim3,,,,
㛮,叜,叜,sǎo,sou2,,,,
㛯,勉,免,fàn,min5,,,,
㛰,昬,民,,fan1,,,,
㛱,畏,畏,wěi,wui2,,,,
㛲,,,fà,faat3,,,,
㛳,帝,帝,yì,zaai6 zaam3,,,,
㛴,,,nǎo,nou5 zyun5,,,,
㛵,爯,爯,chēng,cing1,,,,
㛶,炭,厂,tàn,taan3,,,,
㛷,,,jī,gai1,,,,
㛸,壴,壴,shù,syu6,,,,
㛹,便,便,pián,pin4,,,,
㛺,音,音,ān,aam1,,,,
㛻,奎,圭,kuā,kwaai2,,,,
㛼,臿,臿,chā,cap3 coi3,,,,
㛽,宩,,,saan1,,,,
㛾,咸,咸,xián,haam4,,,,
㛿,带,,zhì,zaai6 zat3,,,,
㜀,,,,,,,,
㜁,查,查,,caa4,,,,
㜂,封,封,fēng,fung1,,,,
㜃,信,信,liàn,lyun2 lyut6,,,,
㜄,,,xún,caam4 caan2 saan6 zaan2,,,,
㜅,畜,畜,xù,cuk1,,,,
㜆,迷,米,mì,maai4,,,,
㜇,恚,圭,huì,waai6,,,,
㜈,務,矛,mù,muk6,,,,
㜉,邕,邕,yōng,zung1 zung2,,,,
㜊,展,展,zhǎn,nan5 zin2,,,,
㜋,益,益,yì,zi4 zik1,,,,
㜌,,,nǒu,gaau3,,,,
㜍,唐,庚,táng,tong4,,,,
㜎,奚,奚,xī,haai4 haai6,,,,
㜏,員,囗,yún,wan4,,,,
㜐,豈,豈,shù,syu6,,,,
㜑,浦,父,fú,pak3 po4,,,,
㜒,舁,舁,yì,ngaai6 zi5,,,,
㜓,荅,合,dá,daap3,,,,
㜔,竞,,,,,,,
㜕,連,連,lián,lin4,,,,
㜖,曹,曹,cáo,cou4,,,,
㜗,參,參,cān,cam2,,,,
㜘,虘,且,jù,geoi6,,,,
㜙,,,lù,luk6,,,,
㜚,宿,白,sù,suk1,,,,
㜛,軟,軟,nèn,zyun5,,,,
㜜,敖,方,ào,ngou6,,,,
㜝,酓,今,ǎn,an2,,,,
㜞,斬,斬,qiàn,cam4 cim3,,,,
㜟,,,,,,,,
㜠,崔,隹,cuī,ceoi1 cyun2,,,,
㜡,從,,cōng,sung1,,,,
㜢,,,,leoi5,,,,
㜣,然,犬,rán,zin4,,,연,
㜤,覃,覃,niǎn,saam2,,,,
㜥,買,買,mái,maai4,,,,
㜦,尋,尋,xín,cam4,,,,
㜧,厥,欠,yuè,kyut3 waat1,,,,
㜨,犀,㞑,nái,,,,,
㜩,奧,奧,ào,ou3,,,,
㜪,新,亲,shēn,saan1 sin2,,,,
㜫,微,,mà,mei5,,,,
㜬,詹,詹,,daam1,,,,
㜭,當,向,,dong1,,,,
㜮,監,監,làn,laam6,,,,
㜯,熙,己,xī,hei1,,,희,
㜰,樂,樂,yuè,zoek6,,,,
㜱,質,質,zhì,zat1,,,,
㜲,嬴,亡,wěng,zing4,,,,
㜳,褱,眔,huái,gwaai1 wai4,,,,
㜴,瞢,𦭝,mèng,mung6,,,,
㜵,褭,,niǎo,niu5,,,,
㜶,毚,㲋,wǎn,man5 man6,,,,
㜷,彌,尒,mí,laau4 nai5,,,,
㜸,薛,𡶫,niè,zip6 zit6 zyu1,,,,
㜹,瞿,䀠,qú,keoi4,,,,
㜺,贊,先,zàn,zaan2,,,찬,
㜻,戀,䜌,liàn,lyun2,,,,
㜼,疊,且,zhí,dip6 zaat6 zit1,,,,
㜽,,,zǐ,daai2 zi2,,,,
㜾,介,介,hái,haai4,,,,
㜿,予,予,xù,zeoi6 zok6,,,,
㝀,,,hào,hou3,,,,
㝁,旬,旬,xuān,king4,,,,
㝂,折,折,zhì,caam4 dap3 gei1 zaai3 zit3,,,,
㝃,,,miǎn,hei1 min5,,,,
㝄,屯,屯,chún,seon4 zeot1,,,,
㝅,,,gòu,gaau3 zyu5,,,,
㝆,,,,,,,,
㝇,享,亨,chún,seon4,,,,
㝈,䜌,䜌,luán,lyun4,,,,
㝉,0,㝉,zhù,cyu5,,,,
㝊,,,shǒu,sau2,,,,
㝋,了,了,liǎo,liu5,,,,
㝌,久,久,jiù,gau3,,,,
㝍,,,xiě,se2,,,,
㝎,,,dìng,ding6,,,,
㝏,介,介,jiè,gaai3,,,,
㝐,公,公,róng,zung2 zung4,,,,
㝑,,,máng,pong4,,,,
㝒,,,,geoi1,,,,
㝓,,,kè,gaap3 hau1 kaap6,,,,
㝔,,,yǎo,ziu3,,,,
㝕,,,níng,fai3 ning4,,,,
㝖,,,yí,zi4,,,,
㝗,,,láng,gong1,,,,
㝘,,,yóng,zung4,,,,
㝙,,,yín,zaan4,,,,
㝚,延,延,yán,,,,,
㝛,,,sù,suk1,,,,
㝜,昔,昔,,sik1,,,,
㝝,,,lín,lam4 lam6,,,,
㝞,亞,亞,yā,aa1,,,,
㝟,,,máo,mou6 mui6,,,,
㝠,昗,,míng,ming4,,,,
㝡,,,zuì,zeoi3 zyu4,,,,
㝢,禹,禹,yǔ,zyu5,,,,
㝣,契,丯,yì,,,,,
㝤,冓,冓,gòu,gau3,,,,
㝥,,,mǐ,maai5,,,,
㝦,隽,隽,jùn,zeon3,,,,
㝧,坐,坐,wěn,wan2,,,,
㝨,,,,,,,,
㝩,康,康,kāng,hoi1,,,,
㝪,執,幸,diàn,dim3,,,,
㝫,隆,,lóng,lung4,,,,
㝬,,,,,,,,
㝭,惺,生,xǐng,sing2,,,,
㝮,,,cuì,,,,,
㝯,喬,喬,qiáo,kiu4,,,,
㝰,臱,臱,mián,maan5 min4,,,,
㝱,夢,𦭝,mèng,mung6,,,,
㝲,,,qǐn,cam2,,,,
㝳,,,,,,,,
㝴,元,元,wán,zyun4,,,,
㝵,0,㝵,dé,daak1 ngoi6,,,,
㝶,,,ài,dak1,,,,
㝷,,,,,,,,
㝸,,,biàn,beng2 bin6,,,,
㝹,,,nóu,,,,,
㝺,,,lián,lim4,,,,
㝻,堇,堇,jǐn,gan2,,,,
㝼,于,于,yū,zyu1,,,,
㝽,,,chuí,cai1 ceoi4 coek3,,,,
㝾,左,左,zuǒ,zo2,,,,
㝿,,,bǒ,bo2,,,,
㞀,灰,灰,huī,fui1,,,,
㞁,㫐,㫐,yào,ziu6,,,,
㞂,妥,妥,tuǐ,teoi2,,,,
㞃,,,jì,gik6,,,,
㞄,奄,奄,ān,aam1 an2,,,,
㞅,,,luò,gwo2 kong3 kwok3,,,,
㞆,,,jǐ,gei1,,,,
㞇,畏,畏,wěi,waai2,,,,
㞈,扁,扁,bō,bui6 but6,,,,
㞉,差,左,zā,zaat3,,,,
㞊,祟,祟,xù,seot1,,,,
㞋,,,niǎn,nin2,,,,
㞌,,,yùn,lai1 zaan6,,,,
㞍,,,,,,,,
㞎,巴,巴,bǎ,baa2 paa4,,,,
㞏,乏,乏,zhé,zaat6,,,,
㞐,,,jū,geoi1,,,,
㞑,0,㞑,wěi,mei5,,,,
㞒,0,㞒,xiè,aai3,,,,
㞓,旨,匕,qì,hai1 hei3,,,,
㞔,,,yí,ji4,,,,
㞕,䏌,,xiè,ngaat6 sit3,,,,
㞖,朿,朿,cí,ci1 ci3 zi4,,,,
㞗,,,qiú,gau1,,,,
㞘,豖,豖,dū,duk1 tyun4,,,,
㞙,,,niào,niu6,,,,
㞚,臿,臿,qì,kaai3,,,,
㞛,,,jǐ,gei2,,,,
㞜,,,tuī,teoi1,,,,
㞝,,,,,,,,
㞞,從,,sóng,,,,,
㞟,奠,奠,diàn,din6,,,,
㞠,尞,尞,láo,liu4,,,,
㞡,㠭,,zhǎn,zin2,,,,
㞢,,,,zi1,,,,
㞣,,,,fan1,,,,
㞤,,,yín,saam4,,,,
㞥,,,cén,cip3 gip3 saam4 seon2,,,,
㞦,,,jǐ,gei2,,,,
㞧,,,huì,wui6,,,,
㞨,,,zǐ,zi1 zi2,,,,
㞩,,,lán,laam4,,,,
㞪,,,náo,mau6 nau4,,,,
㞫,,,jù,zaau2 zau2,,,,
㞬,,,qìn,,,,,
㞭,,,dài,daai6,,,,
㞮,,,,,SHUTSU SUI,DERU DASU,,
㞯,,,jié,zit3,,,,
㞰,午,午,xǔ,heoi2,,,,
㞱,,,cōng,cung1,,,,
㞲,,,yòng,zung6,,,,
㞳,,,dǒu,dau2,,,,
㞴,,,chí,ci4,,,,
㞵,,,,tou1,,,,
㞶,,,mǐn,man4,,,,
㞷,王,王,huáng,wong4,,,,
㞸,,,suì,seoi3,,,,
㞹,,,kě,ho2,,,,
㞺,,,zú,zuk6,,,,
㞻,号,号,hào,hou6,,,,
㞼,氶,氶,chéng,nip6 sing4,,,승,
㞽,戉,戉,xuè,hyut3,,,,
㞾,尼,匕,ní,nei4,,,,
㞿,,,chì,kei4,,,,
㟀,,,lián,lin4,,,,
㟁,厈,,àn,ngang6 ngon6,,,,
㟂,母,母,mǔ,mou5,,,,
㟃,司,司,sī,si1,,,,
㟄,,,xiáng,coeng4,,,,
㟅,兇,凶,yáng,ou2 zoeng4 zoeng6,,,,
㟆,華,華,huá,waa4,,,,
㟇,坐,坐,cuò,co4,,,,
㟈,,,qiú,kau4,,,,
㟉,牢,牢,láo,lou4,,,,
㟊,孚,孚,fú,fu1,,,,
㟋,兑,㕣,duì,deoi3,,,,
㟌,尨,尨,máng,mong4,,,,
㟍,,,láng,long4,,,,
㟎,妥,妥,tuǒ,to5,,,,
㟏,含,今,hán,ham4,,,,
㟐,芒,亡,mǎng,mong5,,,,
㟑,孛,孛,bó,but6,,,,
㟒,君,君,qūn,kwan1,,,,
㟓,希,㐅,qí,kei4,,,,
㟔,含,今,hán,ham4,,,,
㟕,呌,,,,,,,
㟖,弄,弄,lòng,lung6,,,,
㟗,,,,ban1,,,,
㟘,,,tiáo,tiu4,,,,
㟙,昔,昔,zé,zaak6,,,,
㟚,枝,支,qí,kei4,,,,
㟛,拑,甘,zàn,zan2 zan3,,,,
㟜,弥,尔,mí,nei4,,,,
㟝,咅,咅,péi,pui4,,,,
㟞,戔,戔,zhàn,zan2 zan6,,,,
㟟,巷,巷,xiàng,hong2 hong6 hot3,,,,
㟠,岡,网,gǎng,gong1,,,,
㟡,,,,,,,,
㟢,,,qí,kei4,,,,
㟣,,,,,,,,
㟤,彖,彖,lù,luk6,,,,
㟥,參,參,,caam1,,,,
㟦,軍,軍,yùn,wan6,,,,
㟧,咢,屰,è,hon6 ngok6 zim4,,,,
㟨,耑,而,duān,cyun4,,,,
㟩,敃,民,mín,man4,,,,
㟪,畏,畏,wēi,waai1,,,,
㟫,泉,泉,quán,cyun4,,,,
㟬,叟,叟,sǒu,saau2 sou2,,,,
㟭,昬,民,mín,man4,,,,
㟮,突,突,tū,daat6 daau6,,,,
㟯,,,,,,,,
㟰,冥,冖,mǐng,ming5,,,,
㟱,羔,羔,yǎo,ngau5 ngo4 paau4 zip6,,,,
㟲,原,厂,jué,zyun4,,,,
㟳,栗,栗,lì,gak3 ham2 leot6,,,,
㟴,,,kuài,fai3 fan4 fan6,,,,
㟵,罡,正,gǎng,gong1,,,,
㟶,原,厂,yuán,zyun4,,,,
㟷,荅,合,da,dap3,,,,
㟸,皋,皋,,gou1,,,,
㟹,聊,卯,láo,liu4 lou4,,,,
㟺,,,lóu,laau4,,,,
㟻,斬,斬,qiàn,cim3 ding1 zam2,,,,
㟼,敖,方,áo,ngou4 ngou4,,,,
㟽,票,票,biǎo,biu2,,,,
㟾,庸,庸,yōng,zung4,,,,
㟿,莽,茻,mǎng,mong5,,,,
㠀,,,dǎo,dou2,,,,
㠁,參,參,,caam1,,,,
㠂,敖,方,áo,ngou4,,,,
㠃,,,,,,,,
㠄,習,習,xí,zaap6,,,,
㠅,復,复,fú,fuk1,,,,
㠆,,,dān,daan1,,,,
㠇,就,就,jiù,zau6,,,,
㠈,閏,閏,rùn,zeon6,,,,
㠉,童,童,tóng,hiu1 tung4,,,,
㠊,虚,虍,qū,keoi1,,,,
㠋,,,è,ngok6,,,,
㠌,欺,其,qī,hei1,,,기,
㠍,集,集,jí,caap1 zap6 zit6,,,,
㠎,集,集,jí,zaap6,,,,
㠏,華,華,huá,gwaai3 waa4 wat6,,,,
㠐,喬,喬,jiào,caa4 giu6 kiu4,,,,
㠑,罪,罪,zuì,zeoi6,,,,
㠒,剽,票,biǎo,biu2,,,,
㠓,蒙,冡,méng,mung4,,,,
㠔,,,bài,bai3 be6,,,,
㠕,隗,鬼,wěi,waai5,,,,
㠖,義,我,yǐ,zi4 zi6,,,,
㠗,奧,奧,ào,bei1 ou3,,,,
㠘,與,与,yǔ,zeoi6,,,서,
㠙,豪,,háo,hou4,,,,
㠚,對,對,duì,deoi3 zeoi3,,,,
㠛,蒦,隻,wò,,,,,
㠜,疑,矢,nì,zik6,,,,
㠝,賛,先,cuán,cyun4,,,,
㠞,,,,,,,,
㠟,黎,,lí,lai4,,,,
㠠,盧,𧆨,lú,lou4,,,,
㠡,褭,,niǎo,muk6 niu5,,,,
㠢,嵬,鬼,huái,wai4 wik6,,,,
㠣,歷,秝,lì,lik6,,,,
㠤,,,,,,,,
㠥,壘,畾,lǜ,leoi6,,,,
㠦,豐,豐,fēng,fung1 gaam3 haat6,,,,
㠧,靡,麻,mǐ,mei5,,,,
㠨,欝,棥,yù,gwaat1 waat1,,,,
㠩,,,,fong1,,,,
㠪,,,jù,geoi6,,,,
㠫,,,,,,,,
㠬,,,,,,,,
㠭,,,zhǎn,zin2,,,,
㠮,普,並,pēng,pang1,,,,
㠯,0,㠯,yǐ,zyu5,,,,
㠰,,,,,,,,
㠱,,,jì,gei6,,,,
㠲,,,bǐ,baat6 bei2 bok3,,,,
㠳,,,,,,,,
㠴,,,rèn,zaan6,,,,
㠵,,,huāng,fong1,,,,
㠶,凢,凢,fán,faan4,,,,
㠷,,,gé,gok3 hon6 kaau3,,,,
㠸,,,kù,fu3 gu1,,,,
㠹,介,介,jiè,gaai3,,,,
㠺,,,shā,saa1,,,,
㠻,,,,hei1,,,,
㠼,,,sī,si1,,,,
㠽,冬,冬,tóng,tung4,,,,
㠾,夗,㔾,yuān,zyun1 zyun3,,,,
㠿,,,zī,zi1,,,,
㡀,0,㡀,bì,bai6,,,,
㡁,夸,于,kuǎ,kai2 kwaa1 kwaa3 pong4 tap3,,,,
㡂,列,列,lì,lai6,,,,
㡃,㠩,,huāng,fong1,,,,
㡄,旬,旬,xún,seon1 seon2,,,,
㡅,,,nuǒ,no5,,,,
㡆,巟,亡,,fong1,,,,
㡇,,,zhé,zip3,,,,
㡈,,,wèn,man6,,,,
㡉,弦,玄,xián,zin4,,,,
㡊,臽,臽,qià,haap1 hap6,,,,
㡋,,,yé,zim1,,,,
㡌,冐,冃,mào,mou6,,,,
㡍,㚖,,,,,,,
㡎,參,參,,saam1,,,,
㡏,兪,兪,shù,so1,,,,
㡐,前,前,,zin1,,,,
㡑,秋,秋,qiāo,hau1 ziu2,,,,
㡒,盾,盾,zhūn,zeon1,,,,
㡓,軍,軍,kūn,kwaan1,,,,
㡔,敄,矛,wù,mou6,,,,
㡕,英,央,yīng,zing1,,,,
㡖,,,chuáng,cong4,,,,
㡗,虒,虒,tí,tai4,,,,
㡘,,,lián,lim4,,,,
㡙,,,bī,bei1,,,,
㡚,冓,冓,gōu,haat6 ngaau1,,,,
㡛,荒,亡,máng,mong4,,,,
㡜,祭,祭,xiè,syut3,,,,
㡝,逢,丰,fèng,fung6,,,,
㡞,,,lóu,laau4 laau5 leoi5,,,,
㡟,曹,曹,zāo,zou1,,,,
㡠,登,登,zhèng,zing3,,,,
㡡,厨,厨,chú,cyu4,CHU JIU,TOBARI KAYA,,
㡢,㬅,㬅,màn,maan6,,,,
㡣,,,lóng,lung4,,,,
㡤,,,,,,,,
㡥,㥯,,yìn,zaan2,,,,
㡦,賓,賓,pīn,baan1 faan6,,,,
㡧,䆸,登,zhèng,coeng1 zing3,,,,
㡨,韱,㦰,jiān,cin1,,,,
㡩,䜌,䜌,luán,lyun4,,,,
㡪,,,nié,,,,,
㡫,,,yì,zi3,,,,
㡬,,,,,,,,
㡭,0,㡭,jì,gai3,,,,
㡮,幾,,jí,gaap6 kaap6,,,,
㡯,乇,乇,zhái,dok6 dou6 saam2 zak6,,,,
㡰,于,于,yǔ,zyu5,,,,
㡱,久,久,jiǔ,gaau3 kaau3,,,,
㡲,,,huán,waan4,,,,
㡳,,,zhǐ,zi2,,,,
㡴,,,lā,kaap1 lai1,,,,lụp
㡵,,,líng,ling4 ling5,,,,
㡶,只,只,zhǐ,zi2,,,,
㡷,本,本,běn,bun2,,,,
㡸,乍,乍,zhà,zaa3,,,,
㡹,,,jū,zeoi1,,,,
㡺,,,dàn,daan3,,,,
㡻,卯,卯,liào,liu6,,,,
㡼,曳,丿,yì,zi6,,,,
㡽,聿,聿,zhào,ziu6,,,,
㡾,,,xiàn,haan6,,,,
㡿,屰,屰,chì,cik1,,,,
㢀,朿,朿,cì,ci3,,,,
㢁,,,chǐ,ci2,,,,
㢂,,,yǎn,zim5,,,,
㢃,,,láng,long4,,,랑,
㢄,,,dòu,cim1 daau6,,,,
㢅,弄,弄,lòng,lung6,,,,
㢆,,,chán,cin4,,,,
㢇,,,,,,,,
㢈,,,tuí,teoi4,,,,
㢉,秅,乇,chá,caa4,,,,
㢊,奇,丂,ǎi,aai2,,,,
㢋,侈,夕,chǐ,ci2,,,,
㢌,,,,,,,,
㢍,英,央,yǐng,zing2 zoeng3 zung2,,,,
㢎,臿,臿,zhé,cap3 zaap1 ziu3,,,,
㢏,兪,兪,tóu,tau4,,,,
㢐,,,,,,,,
㢑,隼,隼,tuí,teoi4,,,,
㢒,虘,且,chá,caa4,,,,
㢓,章,早,yǎo,zoeng3,,,,
㢔,從,,zǒng,cung1 zaai1 zung2,,,,
㢕,,,,zung1,,,,
㢖,,,pān,pun1,,,,
㢗,喬,喬,qiào,hiu1 hou4,,,,
㢘,,,lián,him3 lim4,,,,
㢙,勤,堇,qín,gaan2 kaan4 saap1,,,,
㢚,虜,虍,lǔ,lou5,,,,
㢛,僉,僉,yàn,zim6,,,,
㢜,,,kàng,kong2,,,,
㢝,穌,魚,sū,sou1,,,,
㢞,翼,異,yì,zi6,,,,
㢟,,,chān,cin2,,,,
㢠,冋,冋,jiǒng,gwing2,,,,
㢡,將,,jiǎng,ceoi1 ceot1 zoeng2,,,,
㢢,,,,,,,,
㢣,敬,敬,jìng,king4 king4,,,,
㢤,,,,,,,,
㢥,,,dòng,dung6,,,,
㢦,哥,丂,,go1,,,,
㢧,,,juàn,gyun2,,,,
㢨,,,hàn,hon6,,,,
㢩,勺,勺,dì,dik1 dim3 tiu4,,,,
㢪,,,,wu1,,,,
㢫,,,,,,,,
㢬,厷,厷,hóng,wang4,,,,
㢭,,,,tou1,,,,
㢮,㐌,㐌,chí,ci4,,,,
㢯,民,民,diāo,deon1,,,,
㢰,,,bì,bei6,,,,
㢱,厼,,,,,,,
㢲,弜,弓,xùn,saan1 seon3,,,,
㢳,,,lú,lou4,,,,
㢴,,,,sai1,,,,
㢵,,,xié,hip3 sip3,,,,
㢶,,,bì,bat6,,,,
㢷,岁,,,,,,,
㢸,,,bì,baat6 mak3 pong5,,,,
㢹,,,,,,,,
㢺,妾,妾,xián,zin2 zin4,,,현,
㢻,委,委,ruì,waai2,,,,
㢼,㡀,㡀,biè,bit3,,,,
㢽,,,ěr,nei6,,,,
㢾,垔,垔,juàn,gyun3,,,,
㢿,,,,,,,,
㣀,真,真,zhèn,zan3,,,,
㣁,,,bèi,baai3 bei6,,,,
㣂,,,è,zik6,,,,
㣃,育,肉,yǔ,zuk6,,,,
㣄,渠,渠,qú,keoi4,,,,
㣅,朁,兓,zàn,zam1,,,,
㣆,爾,尒,mí,nei4,,,,
㣇,彑,彑,yì,caa3 zi6,,,,
㣈,,,sì,si3,,,,
㣉,,,,gung1,,,,
㣊,,,,,,,,
㣋,丼,丼,,daan1,,,,
㣌,,,shàn,saam3,,,,
㣍,,,tái,ciu1 cong2 toi4 zaau2,,,,
㣎,0,㣎,mù,man6 muk6,,,,
㣏,,,jìng,zing6,,,,
㣐,,,biàn,bin3,,,,
㣑,庸,庸,róng,zung4,,,,
㣒,,,cèng,saang3 sik1,,,,
㣓,粲,,càn,caan3,,,,
㣔,,,dīng,ding1,,,,
㣕,,,,,,,,
㣖,,,,,,,,
㣗,,,,,,,,
㣘,,,,keoi1,,,,
㣙,,,dí,dek6 duk6,,,,
㣚,,,tǒng,tung2 tung4,,,,
㣛,,,tà,dap6,,,,
㣜,刑,干,xíng,haang4,,,,
㣝,戎,十,sōng,sung1,,,,
㣞,兊,㕣,duó,dyut6,,,,
㣟,,,xì,hei3,,,,
㣠,冬,冬,tāo,tou4,,,,
㣡,仲,中,,,,,,
㣢,弟,丿,tí,daai1 taai4,,,,
㣣,㚒,,shàn,saam2 sim2,,,,
㣤,戔,戔,jiàn,cin5,,,,
㣥,侍,之,zhì,zi6,,,,
㣦,委,委,wēi,wai1,,,,
㣧,,,yìn,zaan6,,,윤,
㣨,姑,古,,,,,,
㣩,,,,,,,,
㣪,爰,爰,huǎn,wun6,,,,
㣫,,,zhǒng,dung2,,,,
㣬,咠,咠,qì,cap1,,,,
㣭,㚇,凶,zōng,zung1,,,,
㣮,,,,,,,,
㣯,屑,小,xiè,sit3,,,,
㣰,悉,悉,xiè,sik1,,,,
㣱,責,朿,zé,zak3,,,,
㣲,,,wéi,mei4,,,,
㣳,,,,,,,,
㣴,,,,,,,,
㣵,達,大,tà,taat3,,,,
㣶,亶,亶,zhān,zin1,,,,
㣷,寧,寍,nìng,ning6,,,,
㣸,㽔,,,,,,,
㣹,,,,,,,,
㣺,,,,sam1,,,,
㣻,乂,乂,yì,ngai6,,,,
㣼,,,rěn,zaan2,,,,
㣽,,,shù,syu3,,,서,
㣾,叉,叉,chà,caa3,,,,
㣿,勺,勺,zhuó,coek3 niu5 zoek3,,,,
㤀,兦,兦,,,,,,
㤁,,,miǎn,tim2,,,,
㤂,,,jí,gap1,,,,
㤃,,,fáng,fong1 fong4,,,,
㤄,巿,巿,pèi,pui3,,,,
㤅,,,ài,oi3,,,,
㤆,反,反,fàn,faan2,,,,
㤇,,,ǎo,ou2 ou3,,,,
㤈,,,qìn,saam3,,,,
㤉,,,qiā,kaa3 kok3 ngaa4,,,,
㤊,爻,爻,xiào,haau6,,,,
㤋,,,fēn,fan1,,,,
㤌,,,gān,gaam1 gaam3,,,,
㤍,巧,工,qiāo,diu6 hau1 hau2 tiu5 ziu4,,,,
㤎,,,gē,go1,,,,
㤏,冬,冬,tóng,tung4,,,,
㤐,,,chān,tip3,,,,
㤑,右,右,yòu,zaau6,,,,
㤒,,,gāo,gou1,,,,
㤓,本,本,bèn,ban6,,,,bỡn
㤔,付,付,fù,fu6,,,,
㤕,,,chù,zeot1,,,,trót
㤖,宁,丁,zhù,cyu5,,,,
㤗,,,,,,,,
㤘,刍,刍,zhòu,zaau3,,,,
㤙,囙,,,zaan1,,,,
㤚,行,行,háng,hong2 hong4,,,,
㤛,任,壬,nín,zaam6,,,,
㤜,戍,戍,jué,kyut3 waat6,,,,
㤝,充,,chōng,cung1,,,,
㤞,宅,乇,chà,caa3,,,,
㤟,曲,曲,kǒng,kung2,,,,
㤠,列,列,liè,laau4 lit6,,,,
㤡,列,列,lì,lai6,,,,sệt
㤢,,,yù,zuk1,,,,
㤣,,,,paang1,,,,
㤤,,,yú,zyu4,,,,
㤥,亥,亥,hài,hoi6,,,,
㤦,吏,史,lì,lei6,,,,
㤧,后,后,hóu,hau4,,,,
㤨,,,gǒng,gung2,,,,
㤩,,,kè,kok3,,,,
㤪,怨,㔾,yuàn,wan4 zyun3,,,,
㤫,,,dé,daak1 zaam3 zak6,,,,
㤬,,,huì,wai6,,,,
㤭,乔,乔,,giu1,,,,
㤮,狂,王,guàng,gwong2 kwong4,,,,
㤯,冏,冏,jiǒng,gwing2,,,,
㤰,作,乍,zuò,zok3,,,,
㤱,,,fù,fu3,,,,
㤲,,,qiè,hap6 hip3,,,,
㤳,否,不,běi,baak1,,,,bẽ
㤴,,,chè,cap3,,,,
㤵,孜,子,cí,ci4,,,,
㤶,尨,尨,máng,pong4,,,,
㤷,含,今,hān,haam4,,,,
㤸,,,xì,zik1,,,,
㤹,,,qiú,gaau3 kaau4,,,,
㤺,巟,亡,huǎng,fong2 wok6,,,,
㤻,卵,卵,,nan2,,,,
㤼,,,,,,,,
㤽,寿,寿,chóu,cau4,,,,
㤾,罙,罙,sàn,san3,,,,
㤿,,,yān,jim1,,,,
㥀,直,直,zhí,daak1,,,,
㥁,0,㥁,dé,dak1,,,,
㥂,㝵,㝵,tè,tik1 tim5,,,,
㥃,,,mèn,mun6,,,,
㥄,夌,夌,líng,ling4,,,,
㥅,受,受,shòu,sau6,,,,
㥆,隶,隶,tuì,teoi3,,,,
㥇,戔,戔,cán,can1,,,,
㥈,帖,占,dié,dip6,,,,
㥉,咅,咅,chè,pei1,,,,
㥊,朋,朋,péng,pang4,,,,
㥋,依,衣,yī,zi1,,,,
㥌,匊,匊,jú,guk1,,,,
㥍,,,jì,gei6,,,,
㥎,,,lái,laai4,,,,
