glyph,phonetic,pinyin,cantonese,on,kun,korean,vietnamese
㛶,炭,tàn,taan3,,,,
㛷,,jī,gai1,,,,
㛸,壴,shù,syu6,,,,
㛹,便,pián,pin4,,,,
㛺,音,ān,aam1,,,,
㛻,奎,kuā,kwaai2,,,,
㛼,臿,chā,cap3 coi3,,,,
㛽,宩,,saan1,,,,
㛾,咸,xián,haam4,,,,
㛿,带,zhì,zaai6 zat3,,,,
㜀,,,,,,,
㜁,查,,caa4,,,,
㜂,封,fēng,fung1,,,,
㜃,信,liàn,lyun2 lyut6,,,,
㜄,,xún,caam4 caan2 saan6 zaan2,,,,
㜅,畜,xù,cuk1,,,,
㜆,迷,mì,maai4,,,,
㜇,恚,huì,waai6,,,,
㜈,務,mù,muk6,,,,
㜉,邕,yōng,zung1 zung2,,,,
㜊,展,zhǎn,nan5 zin2,,,,
㜋,益,yì,zi4 zik1,,,,
㜌,,nǒu,gaau3,,,,
㜍,唐,táng,tong4,,,,
㜎,奚,xī,haai4 haai6,,,,
㜏,員,yún,wan4,,,,
㜐,豈,shù,syu6,,,,
㜑,浦,fú,pak3 po4,,,,
㜒,舁,yì,ngaai6 zi5,,,,
㜓,荅,dá,daap3,,,,
㜔,竞,,,,,,
㜕,連,lián,lin4,,,,
㜖,曹,cáo,cou4,,,,
㜗,參,cān,cam2,,,,
㜘,虘,jù,geoi6,,,,
㜙,,lù,luk6,,,,
㜚,宿,sù,suk1,,,,
㜛,軟,nèn,zyun5,,,,
㜜,敖,ào,ngou6,,,,
㜝,酓,ǎn,an2,,,,
㜞,斬,qiàn,cam4 cim3,,,,
㜟,,,,,,,
㜠,崔,cuī,ceoi1 cyun2,,,,
㜡,從,cōng,sung1,,,,
㜢,,,leoi5,,,,
㜣,然,rán,zin4,,,연,
㜤,覃,niǎn,saam2,,,,
㜥,買,mái,maai4,,,,
㜦,尋,xín,cam4,,,,
㜧,厥,yuè,kyut3 waat1,,,,
㜨,犀,nái,,,,,
㜩,奧,ào,ou3,,,,
㜪,新,shēn,saan1 sin2,,,,
㜫,微,mà,mei5,,,,
㜬,詹,,daam1,,,,
㜭,當,,dong1,,,,
㜮,監,làn,laam6,,,,
㜯,熙,xī,hei1,,,희,
㜰,樂,yuè,zoek6,,,,
㜱,質,zhì,zat1,,,,
㜲,嬴,wěng,zing4,,,,
㜳,褱,huái,gwaai1 wai4,,,,
㜴,瞢,mèng,mung6,,,,
㜵,褭,niǎo,niu5,,,,
㜶,毚,wǎn,man5 man6,,,,
㜷,彌,mí,laau4 nai5,,,,
㜸,薛,niè,zip6 zit6 zyu1,,,,
㜹,瞿,qú,keoi4,,,,
㜺,贊,zàn,zaan2,,,찬,
㜻,戀,liàn,lyun2,,,,
㜼,疊,zhí,dip6 zaat6 zit1,,,,
㜽,,zǐ,daai2 zi2,,,,
㜾,介,hái,haai4,,,,
㜿,予,xù,zeoi6 zok6,,,,
㝀,,hào,hou3,,,,
㝁,旬,xuān,king4,,,,
㝂,折,zhì,caam4 dap3 gei1 zaai3 zit3,,,,
㝃,,miǎn,hei1 min5,,,,
㝄,屯,chún,seon4 zeot1,,,,
㝅,,gòu,gaau3 zyu5,,,,
㝆,,,,,,,
㝇,享,chún,seon4,,,,
㝈,䜌,luán,lyun4,,,,
㝉,0,zhù,cyu5,,,,
㝊,,shǒu,sau2,,,,
㝋,了,liǎo,liu5,,,,
㝌,久,jiù,gau3,,,,
㝍,,xiě,se2,,,,
㝎,,dìng,ding6,,,,
㝏,介,jiè,gaai3,,,,
㝐,公,róng,zung2 zung4,,,,
㝑,,máng,pong4,,,,
㝒,,,geoi1,,,,
㝓,,kè,gaap3 hau1 kaap6,,,,
㝔,,yǎo,ziu3,,,,
㝕,,níng,fai3 ning4,,,,
㝖,,yí,zi4,,,,
㝗,,láng,gong1,,,,
㝘,,yóng,zung4,,,,
㝙,,yín,zaan4,,,,
㝚,延,yán,,,,,
㝛,,sù,suk1,,,,
㝜,昔,,sik1,,,,
㝝,,lín,lam4 lam6,,,,
㝞,亞,yā,aa1,,,,
㝟,,máo,mou6 mui6,,,,
㝠,昗,míng,ming4,,,,
㝡,,zuì,zeoi3 zyu4,,,,
㝢,禹,yǔ,zyu5,,,,
㝣,契,yì,,,,,
㝤,冓,gòu,gau3,,,,
㝥,,mǐ,maai5,,,,
㝦,隽,jùn,zeon3,,,,
㝧,坐,wěn,wan2,,,,
㝨,,,,,,,
㝩,康,kāng,hoi1,,,,
㝪,執,diàn,dim3,,,,
㝫,隆,lóng,lung4,,,,
㝬,,,,,,,
㝭,惺,xǐng,sing2,,,,
㝮,,cuì,,,,,
㝯,喬,qiáo,kiu4,,,,
㝰,臱,mián,maan5 min4,,,,
㝱,夢,mèng,mung6,,,,
㝲,,qǐn,cam2,,,,
㝳,,,,,,,
㝴,元,wán,zyun4,,,,
㝵,0,dé,daak1 ngoi6,,,,
㝶,,ài,dak1,,,,
㝷,,,,,,,
㝸,,biàn,beng2 bin6,,,,
㝹,,nóu,,,,,
㝺,,lián,lim4,,,,
㝻,堇,jǐn,gan2,,,,
㝼,于,yū,zyu1,,,,
㝽,,chuí,cai1 ceoi4 coek3,,,,
㝾,左,zuǒ,zo2,,,,
㝿,,bǒ,bo2,,,,
㞀,灰,huī,fui1,,,,
㞁,㫐,yào,ziu6,,,,
㞂,妥,tuǐ,teoi2,,,,
㞃,,jì,gik6,,,,
㞄,奄,ān,aam1 an2,,,,
㞅,,luò,gwo2 kong3 kwok3,,,,
㞆,,jǐ,gei1,,,,
㞇,畏,wěi,waai2,,,,
㞈,扁,bō,bui6 but6,,,,
㞉,差,zā,zaat3,,,,
㞊,祟,xù,seot1,,,,
㞋,,niǎn,nin2,,,,
㞌,,yùn,lai1 zaan6,,,,
㞍,,,,,,,
㞎,巴,bǎ,baa2 paa4,,,,
㞏,乏,zhé,zaat6,,,,
㞐,,jū,geoi1,,,,
㞑,0,wěi,mei5,,,,
㞒,0,xiè,aai3,,,,
㞓,旨,qì,hai1 hei3,,,,
㞔,,yí,ji4,,,,
㞕,䏌,xiè,ngaat6 sit3,,,,
㞖,朿,cí,ci1 ci3 zi4,,,,
㞗,,qiú,gau1,,,,
㞘,豖,dū,duk1 tyun4,,,,
㞙,,niào,niu6,,,,
㞚,臿,qì,kaai3,,,,
㞛,,jǐ,gei2,,,,
㞜,,tuī,teoi1,,,,
㞝,,,,,,,
㞞,從,sóng,,,,,
㞟,奠,diàn,din6,,,,
㞠,尞,láo,liu4,,,,
㞡,㠭,zhǎn,zin2,,,,
㞢,,,zi1,,,,
㞣,,,fan1,,,,
㞤,,yín,saam4,,,,
㞥,,cén,cip3 gip3 saam4 seon2,,,,
㞦,,jǐ,gei2,,,,
㞧,,huì,wui6,,,,
㞨,,zǐ,zi1 zi2,,,,
㞩,,lán,laam4,,,,
㞪,,náo,mau6 nau4,,,,
㞫,,jù,zaau2 zau2,,,,
㞬,,qìn,,,,,
㞭,,dài,daai6,,,,
㞮,,,,SHUTSU SUI,DERU DASU,,
㞯,,jié,zit3,,,,
㞰,午,xǔ,heoi2,,,,
㞱,,cōng,cung1,,,,
㞲,,yòng,zung6,,,,
㞳,,dǒu,dau2,,,,
㞴,,chí,ci4,,,,
㞵,,,tou1,,,,
㞶,,mǐn,man4,,,,
㞷,王,huáng,wong4,,,,
㞸,,suì,seoi3,,,,
㞹,,kě,ho2,,,,
㞺,,zú,zuk6,,,,
㞻,号,hào,hou6,,,,
㞼,氶,chéng,nip6 sing4,,,승,
㞽,戉,xuè,hyut3,,,,
㞾,尼,ní,nei4,,,,
㞿,,chì,kei4,,,,
㟀,,lián,lin4,,,,
㟁,厈,àn,ngang6 ngon6,,,,
㟂,母,mǔ,mou5,,,,
㟃,司,sī,si1,,,,
㟄,,xiáng,coeng4,,,,
㟅,兇,yáng,ou2 zoeng4 zoeng6,,,,
㟆,華,huá,waa4,,,,
㟇,坐,cuò,co4,,,,
㟈,,qiú,kau4,,,,
㟉,牢,láo,lou4,,,,
㟊,孚,fú,fu1,,,,
㟋,兑,duì,deoi3,,,,
㟌,尨,máng,mong4,,,,
㟍,,láng,long4,,,,
㟎,妥,tuǒ,to5,,,,
㟏,含,hán,ham4,,,,
㟐,芒,mǎng,mong5,,,,
㟑,孛,bó,but6,,,,
㟒,君,qūn,kwan1,,,,
㟓,希,qí,kei4,,,,
㟔,含,hán,ham4,,,,
㟕,呌,,,,,,
㟖,弄,lòng,lung6,,,,
㟗,,,ban1,,,,
㟘,,tiáo,tiu4,,,,
㟙,昔,zé,zaak6,,,,
㟚,枝,qí,kei4,,,,
㟛,拑,zàn,zan2 zan3,,,,
㟜,弥,mí,nei4,,,,
㟝,咅,péi,pui4,,,,
㟞,戔,zhàn,zan2 zan6,,,,
㟟,巷,xiàng,hong2 hong6 hot3,,,,
㟠,岡,gǎng,gong1,,,,
㟡,,,,,,,
㟢,,qí,kei4,,,,
㟣,,,,,,,
㟤,彖,lù,luk6,,,,
㟥,參,,caam1,,,,
㟦,軍,yùn,wan6,,,,
㟧,咢,è,hon6 ngok6 zim4,,,,
㟨,耑,duān,cyun4,,,,
㟩,敃,mín,man4,,,,
㟪,畏,wēi,waai1,,,,
㟫,泉,quán,cyun4,,,,
㟬,叟,sǒu,saau2 sou2,,,,
㟭,昬,mín,man4,,,,
㟮,突,tū,daat6 daau6,,,,
㟯,,,,,,,
㟰,冥,mǐng,ming5,,,,
㟱,羔,yǎo,ngau5 ngo4 paau4 zip6,,,,
㟲,原,jué,zyun4,,,,
㟳,栗,lì,gak3 ham2 leot6,,,,
㟴,,kuài,fai3 fan4 fan6,,,,
㟵,罡,gǎng,gong1,,,,
㟶,原,yuán,zyun4,,,,
㟷,荅,da,dap3,,,,
㟸,皋,,gou1,,,,
㟹,聊,láo,liu4 lou4,,,,
㟺,,lóu,laau4,,,,
㟻,斬,qiàn,cim3 ding1 zam2,,,,
㟼,敖,áo,ngou4 ngou4,,,,
㟽,票,biǎo,biu2,,,,
㟾,庸,yōng,zung4,,,,
㟿,莽,mǎng,mong5,,,,
㠀,,dǎo,dou2,,,,
㠁,參,,caam1,,,,
㠂,敖,áo,ngou4,,,,
㠃,,,,,,,
㠄,習,xí,zaap6,,,,
㠅,復,fú,fuk1,,,,
㠆,,dān,daan1,,,,
㠇,就,jiù,zau6,,,,
㠈,閏,rùn,zeon6,,,,
㠉,童,tóng,hiu1 tung4,,,,
㠊,虚,qū,keoi1,,,,
㠋,,è,ngok6,,,,
㠌,欺,qī,hei1,,,기,
㠍,集,jí,caap1 zap6 zit6,,,,
㠎,集,jí,zaap6,,,,
㠏,華,huá,gwaai3 waa4 wat6,,,,
㠐,喬,jiào,caa4 giu6 kiu4,,,,
㠑,罪,zuì,zeoi6,,,,
㠒,剽,biǎo,biu2,,,,
㠓,蒙,méng,mung4,,,,
㠔,,bài,bai3 be6,,,,
㠕,隗,wěi,waai5,,,,
㠖,義,yǐ,zi4 zi6,,,,
㠗,奧,ào,bei1 ou3,,,,
㠘,與,yǔ,zeoi6,,,서,
㠙,豪,háo,hou4,,,,
㠚,對,duì,deoi3 zeoi3,,,,
㠛,蒦,wò,,,,,
㠜,疑,nì,zik6,,,,
㠝,賛,cuán,cyun4,,,,
㠞,,,,,,,
㠟,黎,lí,lai4,,,,
㠠,盧,lú,lou4,,,,
㠡,褭,niǎo,muk6 niu5,,,,
㠢,嵬,huái,wai4 wik6,,,,
㠣,歷,lì,lik6,,,,
㠤,,,,,,,
㠥,壘,lǜ,leoi6,,,,
㠦,豐,fēng,fung1 gaam3 haat6,,,,
㠧,靡,mǐ,mei5,,,,
㠨,欝,yù,gwaat1 waat1,,,,
㠩,,,fong1,,,,
㠪,,jù,geoi6,,,,
㠫,,,,,,,
㠬,,,,,,,
㠭,,zhǎn,zin2,,,,
㠮,普,pēng,pang1,,,,
㠯,0,yǐ,zyu5,,,,
㠰,,,,,,,
㠱,,jì,gei6,,,,
㠲,,bǐ,baat6 bei2 bok3,,,,
㠳,,,,,,,
㠴,,rèn,zaan6,,,,
㠵,,huāng,fong1,,,,
㠶,凢,fán,faan4,,,,
㠷,,gé,gok3 hon6 kaau3,,,,
㠸,,kù,fu3 gu1,,,,
㠹,介,jiè,gaai3,,,,
㠺,,shā,saa1,,,,
㠻,,,hei1,,,,
㠼,,sī,si1,,,,
㠽,冬,tóng,tung4,,,,
㠾,夗,yuān,zyun1 zyun3,,,,
㠿,,zī,zi1,,,,
㡀,0,bì,bai6,,,,
㡁,夸,kuǎ,kai2 kwaa1 kwaa3 pong4 tap3,,,,
㡂,列,lì,lai6,,,,
㡃,㠩,huāng,fong1,,,,
㡄,旬,xún,seon1 seon2,,,,
㡅,,nuǒ,no5,,,,
㡆,巟,,fong1,,,,
㡇,,zhé,zip3,,,,
㡈,,wèn,man6,,,,
㡉,弦,xián,zin4,,,,
㡊,臽,qià,haap1 hap6,,,,
㡋,,yé,zim1,,,,
㡌,冐,mào,mou6,,,,
㡍,㚖,,,,,,
㡎,參,,saam1,,,,
㡏,兪,shù,so1,,,,
㡐,前,,zin1,,,,
㡑,秋,qiāo,hau1 ziu2,,,,
㡒,盾,zhūn,zeon1,,,,
㡓,軍,kūn,kwaan1,,,,
㡔,敄,wù,mou6,,,,
㡕,英,yīng,zing1,,,,
㡖,,chuáng,cong4,,,,
㡗,虒,tí,tai4,,,,
㡘,,lián,lim4,,,,
㡙,,bī,bei1,,,,
㡚,冓,gōu,haat6 ngaau1,,,,
㡛,荒,máng,mong4,,,,
㡜,祭,xiè,syut3,,,,
㡝,逢,fèng,fung6,,,,
㡞,,lóu,laau4 laau5 leoi5,,,,
㡟,曹,zāo,zou1,,,,
㡠,登,zhèng,zing3,,,,
㡡,厨,chú,cyu4,CHU JIU,TOBARI KAYA,,
㡢,㬅,màn,maan6,,,,
㡣,,lóng,lung4,,,,
㡤,,,,,,,
㡥,㥯,yìn,zaan2,,,,
㡦,賓,pīn,baan1 faan6,,,,
㡧,䆸,zhèng,coeng1 zing3,,,,
㡨,韱,jiān,cin1,,,,
㡩,䜌,luán,lyun4,,,,
㡪,,nié,,,,,
㡫,,yì,zi3,,,,
㡬,,,,,,,
㡭,0,jì,gai3,,,,
㡮,幾,jí,gaap6 kaap6,,,,
㡯,乇,zhái,dok6 dou6 saam2 zak6,,,,
㡰,于,yǔ,zyu5,,,,
㡱,久,jiǔ,gaau3 kaau3,,,,
㡲,,huán,waan4,,,,
㡳,,zhǐ,zi2,,,,
㡴,,lā,kaap1 lai1,,,,lụp
㡵,,líng,ling4 ling5,,,,
㡶,只,zhǐ,zi2,,,,
㡷,本,běn,bun2,,,,
㡸,乍,zhà,zaa3,,,,
㡹,,jū,zeoi1,,,,
㡺,,dàn,daan3,,,,
㡻,卯,liào,liu6,,,,
㡼,曳,yì,zi6,,,,
㡽,聿,zhào,ziu6,,,,
㡾,,xiàn,haan6,,,,
㡿,屰,chì,cik1,,,,
㢀,朿,cì,ci3,,,,
㢁,,chǐ,ci2,,,,
㢂,,yǎn,zim5,,,,
㢃,,láng,long4,,,랑,
㢄,,dòu,cim1 daau6,,,,
㢅,弄,lòng,lung6,,,,
㢆,,chán,cin4,,,,
㢇,,,,,,,
㢈,,tuí,teoi4,,,,
㢉,秅,chá,caa4,,,,
㢊,奇,ǎi,aai2,,,,
㢋,侈,chǐ,ci2,,,,
㢌,,,,,,,
㢍,英,yǐng,zing2 zoeng3 zung2,,,,
㢎,臿,zhé,cap3 zaap1 ziu3,,,,
㢏,兪,tóu,tau4,,,,
㢐,,,,,,,
㢑,隼,tuí,teoi4,,,,
㢒,虘,chá,caa4,,,,
㢓,章,yǎo,zoeng3,,,,
㢔,從,zǒng,cung1 zaai1 zung2,,,,
㢕,,,zung1,,,,
㢖,,pān,pun1,,,,
㢗,喬,qiào,hiu1 hou4,,,,
㢘,,lián,him3 lim4,,,,
㢙,勤,qín,gaan2 kaan4 saap1,,,,
㢚,虜,lǔ,lou5,,,,
㢛,僉,yàn,zim6,,,,
㢜,,kàng,kong2,,,,
㢝,穌,sū,sou1,,,,
㢞,翼,yì,zi6,,,,
㢟,,chān,cin2,,,,
㢠,冋,jiǒng,gwing2,,,,
㢡,將,jiǎng,ceoi1 ceot1 zoeng2,,,,
㢢,,,,,,,
㢣,敬,jìng,king4 king4,,,,
㢤,,,,,,,
㢥,,dòng,dung6,,,,
㢦,哥,,go1,,,,
㢧,,juàn,gyun2,,,,
㢨,,hàn,hon6,,,,
㢩,勺,dì,dik1 dim3 tiu4,,,,
㢪,,,wu1,,,,
㢫,,,,,,,
㢬,厷,hóng,wang4,,,,
㢭,,,tou1,,,,
㢮,㐌,chí,ci4,,,,
㢯,民,diāo,deon1,,,,
㢰,,bì,bei6,,,,
㢱,厼,,,,,,
㢲,弜,xùn,saan1 seon3,,,,
㢳,,lú,lou4,,,,
㢴,,,sai1,,,,
㢵,,xié,hip3 sip3,,,,
㢶,,bì,bat6,,,,
㢷,岁,,,,,,
㢸,,bì,baat6 mak3 pong5,,,,
㢹,,,,,,,
㢺,妾,xián,zin2 zin4,,,현,
㢻,委,ruì,waai2,,,,
㢼,㡀,biè,bit3,,,,
㢽,,ěr,nei6,,,,
㢾,垔,juàn,gyun3,,,,
㢿,,,,,,,
㣀,真,zhèn,zan3,,,,
㣁,,bèi,baai3 bei6,,,,
㣂,,è,zik6,,,,
㣃,育,yǔ,zuk6,,,,
㣄,渠,qú,keoi4,,,,
㣅,朁,zàn,zam1,,,,
㣆,爾,mí,nei4,,,,
㣇,彑,yì,caa3 zi6,,,,
㣈,,sì,si3,,,,
㣉,,,gung1,,,,
㣊,,,,,,,
㣋,丼,,daan1,,,,
㣌,,shàn,saam3,,,,
㣍,,tái,ciu1 cong2 toi4 zaau2,,,,
㣎,0,mù,man6 muk6,,,,
㣏,,jìng,zing6,,,,
㣐,,biàn,bin3,,,,
㣑,庸,róng,zung4,,,,
㣒,,cèng,saang3 sik1,,,,
㣓,粲,càn,caan3,,,,
㣔,,dīng,ding1,,,,
㣕,,,,,,,
㣖,,,,,,,
㣗,,,,,,,
㣘,,,keoi1,,,,
㣙,,dí,dek6 duk6,,,,
㣚,,tǒng,tung2 tung4,,,,
㣛,,tà,dap6,,,,
㣜,刑,xíng,haang4,,,,
㣝,戎,sōng,sung1,,,,
㣞,兊,duó,dyut6,,,,
㣟,,xì,hei3,,,,
㣠,冬,tāo,tou4,,,,
㣡,仲,,,,,,
㣢,弟,tí,daai1 taai4,,,,
㣣,㚒,shàn,saam2 sim2,,,,
㣤,戔,jiàn,cin5,,,,
㣥,侍,zhì,zi6,,,,
㣦,委,wēi,wai1,,,,
㣧,,yìn,zaan6,,,윤,
㣨,姑,,,,,,
㣩,,,,,,,
㣪,爰,huǎn,wun6,,,,
㣫,,zhǒng,dung2,,,,
㣬,咠,qì,cap1,,,,
㣭,㚇,zōng,zung1,,,,
㣮,,,,,,,
㣯,屑,xiè,sit3,,,,
㣰,悉,xiè,sik1,,,,
㣱,責,zé,zak3,,,,
㣲,,wéi,mei4,,,,
㣳,,,,,,,
㣴,,,,,,,
㣵,達,tà,taat3,,,,
㣶,亶,zhān,zin1,,,,
㣷,寧,nìng,ning6,,,,
㣸,㽔,,,,,,
㣹,,,,,,,
㣺,,,sam1,,,,
㣻,乂,yì,ngai6,,,,
㣼,,rěn,zaan2,,,,
㣽,,shù,syu3,,,서,
㣾,叉,chà,caa3,,,,
㣿,勺,zhuó,coek3 niu5 zoek3,,,,
㤀,兦,,,,,,
㤁,,miǎn,tim2,,,,
㤂,,jí,gap1,,,,
㤃,,fáng,fong1 fong4,,,,
㤄,巿,pèi,pui3,,,,
㤅,,ài,oi3,,,,
㤆,反,fàn,faan2,,,,
㤇,,ǎo,ou2 ou3,,,,
㤈,,qìn,saam3,,,,
㤉,,qiā,kaa3 kok3 ngaa4,,,,
㤊,爻,xiào,haau6,,,,
㤋,,fēn,fan1,,,,
㤌,,gān,gaam1 gaam3,,,,
㤍,巧,qiāo,diu6 hau1 hau2 tiu5 ziu4,,,,
㤎,,gē,go1,,,,
㤏,冬,tóng,tung4,,,,
㤐,,chān,tip3,,,,
㤑,右,yòu,zaau6,,,,
㤒,,gāo,gou1,,,,
㤓,本,bèn,ban6,,,,bỡn
㤔,付,fù,fu6,,,,
㤕,,chù,zeot1,,,,trót
㤖,宁,zhù,cyu5,,,,
㤗,,,,,,,
㤘,刍,zhòu,zaau3,,,,
㤙,囙,,zaan1,,,,
㤚,行,háng,hong2 hong4,,,,
㤛,任,nín,zaam6,,,,
㤜,戍,jué,kyut3 waat6,,,,
㤝,充,chōng,cung1,,,,
㤞,宅,chà,caa3,,,,
㤟,曲,kǒng,kung2,,,,
㤠,列,liè,laau4 lit6,,,,
㤡,列,lì,lai6,,,,sệt
㤢,,yù,zuk1,,,,
㤣,,,paang1,,,,
㤤,,yú,zyu4,,,,
㤥,亥,hài,hoi6,,,,
㤦,吏,lì,lei6,,,,
㤧,后,hóu,hau4,,,,
㤨,,gǒng,gung2,,,,
㤩,,kè,kok3,,,,
㤪,怨,yuàn,wan4 zyun3,,,,
㤫,,dé,daak1 zaam3 zak6,,,,
㤬,,huì,wai6,,,,
㤭,乔,,giu1,,,,
㤮,狂,guàng,gwong2 kwong4,,,,
㤯,冏,jiǒng,gwing2,,,,
㤰,作,zuò,zok3,,,,
㤱,,fù,fu3,,,,
㤲,,qiè,hap6 hip3,,,,
㤳,否,běi,baak1,,,,bẽ
㤴,,chè,cap3,,,,
㤵,孜,cí,ci4,,,,
㤶,尨,máng,pong4,,,,
㤷,含,hān,haam4,,,,
㤸,,xì,zik1,,,,
㤹,,qiú,gaau3 kaau4,,,,
㤺,巟,huǎng,fong2 wok6,,,,
㤻,卵,,nan2,,,,
㤼,,,,,,,
㤽,寿,chóu,cau4,,,,
㤾,罙,sàn,san3,,,,
㤿,,yān,jim1,,,,
㥀,直,zhí,daak1,,,,
㥁,0,dé,dak1,,,,
㥂,㝵,tè,tik1 tim5,,,,
㥃,,mèn,mun6,,,,
㥄,夌,líng,ling4,,,,
㥅,受,shòu,sau6,,,,
㥆,隶,tuì,teoi3,,,,
㥇,戔,cán,can1,,,,
㥈,帖,dié,dip6,,,,
㥉,咅,chè,pei1,,,,
㥊,朋,péng,pang4,,,,
㥋,依,yī,zi1,,,,
㥌,匊,jú,guk1,,,,
㥍,,jì,gei6,,,,
㥎,,lái,laai4,,,,
㥏,典,tiǎn,tin2,,,,
㥐,命,yuàn,zyun3,,,,
㥑,,,zaau1,,,,
㥒,采,cǎi,coi2,,,,
㥓,,qī,zi2,,,,
㥔,育,yù,zuk6,,,,
㥕,,lián,lin4,,,,
㥖,忩,cōng,cung1,,,,
㥗,旻,,,,,,
㥘,刼,,,,,,
㥙,忠,,,,,,
㥚,臾,yú,zyu4 zyu5,,,,
㥛,亟,jí,gik6,,,,
㥜,胃,wèi,syut3 waai6,,,,
㥝,弭,mǐ,maai5,,,,
㥞,㒸,suì,seoi6,,,,
㥟,彖,xié,kwaai4,,,,
㥠,胥,xū,seoi1,,,서,
㥡,,chì,hei3,,,,
㥢,酋,qiú,zaau1 zaau4,,,,
㥣,奎,huì,wai6,,,,
㥤,矜,,ging1 kaan4 ziu2,,,,
㥥,禺,yú,zyu4,,,우,ngùng
㥦,匧,qiè,heoi3 hip3 tiu4,,,,
㥧,,shùn,seon6,,,,
㥨,娃,shuì,ceoi4,,,,
㥩,,duǒ,do2 seoi6,,,,
㥪,婁,lóu,lau4,,,,
㥫,亯,,deon1 seoi3,,,,
㥬,旁,páng,pong4,,,,
㥭,泰,tài,taai3,,,,
㥮,芻,zhòu,zaau3,,,,
㥯,𤔌,yǐn,zaan2,,,,
㥰,叟,sāo,sou1,,,,
㥱,匪,fěi,fei2,,,,
㥲,真,chēn,can1,,,,
㥳,原,yuán,zyun4 zyun6,,,,
㥴,虒,yí,zi4,,,,
㥵,圂,hùn,waan4 waan6,,,,
㥶,,sè,sak1,,,,
㥷,㤲,yè,aai3,,,,
㥸,民,mǐn,man5,,,,
㥹,粉,fěn,baan1 faan2,,,,
㥺,盍,hé,hap6,,,,
㥻,,,,,,,
㥼,焉,yìn,zaan2,,,,
㥽,責,cè,caak3,,,,
㥾,匿,nì,nik1,,,,
㥿,敖,ào,ngou6 tim5,,,,
㦀,逢,féng,fung4,,,,
㦁,連,lián,lin4,,,,
㦂,常,cháng,soeng4,,,,
㦃,產,chǎn,can2 zan3,,,산,
㦄,,má,maa4,,,,
㦅,帶,diē,daai3,,,,
㦆,虖,hū,fu1,,,,hú
㦇,,lù,luk6,,,,
㦈,,,,,,,
㦉,壹,yì,ci2 zi3,,,,nhát
㦊,華,huá,waa4,,,,
㦋,奢,zhā,caa1 zaa1,,,,
㦌,毳,hū,fat1,,,,
㦍,㖾,è,ngok6,,,,
㦎,畫,huò,waak6,,,,
㦏,巽,sǔn,seon2 seon2,,,,
㦐,貳,nì,nei6,,,니,
㦑,敢,xiàn,haam1,,,,
㦒,詈,lí,laai4,,,,
㦓,然,xiàn,zin6,,,,
㦔,猒,yàn,zim1,,,,
㦕,隆,lóng,lung4,,,,
㦖,悶,mèn,mun6,,,,muốn
㦗,禁,jīn,gaam1 gaam3 kaam4 naap1,,,,
㦘,敫,jī,gik1,,,,
㦙,愚,,jyu4,,,,
㦚,,biǎn,bin2,,,,
㦛,與,yǔ,zyu5,,,,
㦜,蒦,huò,waa6 wok6,,,,
㦝,貌,miǎo,bok6 miu5,,,,
㦞,壽,chóu,cau4,,,,
㦟,貍,mái,fat3 mai4,,,,
㦠,,,,,,,
㦡,樂,lè,lok3 lok6,,,,
㦢,節,jié,zit3,,,,
㦣,衛,wèi,at3 waai6 wun2,,,,
㦤,壹,yì,zi3,,,,
㦥,憲,xuān,hyun1,,,헌,
㦦,,xì,hak1,,,,
㦧,㬱,cǎn,caam2,,,,
㦨,闌,lán,laan5,,,,
㦩,隱,yǐn,zaan2 zeon6,,,,
㦪,燮,xiè,,,,,
㦫,贊,zā,zaat3,,,,
㦬,羅,luǒ,lo2,,,,
㦭,靈,líng,ling4,,,,
㦮,,qián,cin4,,,,
㦯,,huò,waak6,,,,
㦰,0,jiān,cim1,,,,
㦱,,wǒ,ngo5,,,,
㦲,,,zoi1,,,,
㦳,,,,,,,
㦴,,gé,gaak3,,,,
㦵,朱,zhū,zyu1,,,,
㦶,,dié,dit6 zung5,,,용,
㦷,甬,yǒng,zung5,,,,
㦸,,jǐ,gik1,,,,
㦹,昜,yáng,maai5 zoeng4 zoeng5,,,,
㦺,辱,rù,zuk6,,,,
㦻,習,xí,zaap6,,,,
㦼,舂,shuàng,,,,,
㦽,,yù,guk1 zuk1,,,,
㦾,,yí,zi4,,,,
㦿,,qiǎn,haang6 him1 wu6,,,,
㧀,,jí,gap6,,,,
㧁,,qù,heoi3,,,,
㧂,,tián,tin4,,,,
㧃,丩,shōu,sau1,,,,
㧄,,qiǎn,kaau4,,,,
㧅,,mù,muk6,,,,đeo
㧆,,jīn,gaan1,,,,
㧇,,mǎo,mou5,,,,
㧈,,yǐn,zaan5,,,,
㧉,,gài,koi3,,,,
㧊,巿,pō,put3,,,,
㧋,,xuǎn,,,,,
㧌,,mào,mou6,,,,
㧍,,fǎng,fong2,,,,phang
㧎,,yá,ngaa4,,,,
㧏,冈,gāng,gong1,,,,
㧐,,sǒng,sung2,,,,
㧑,为,huī,fai1,,,,
㧒,,yù,leot6 waat6,,,,
㧓,,guā,gwaa1,,,,
㧔,,guài,gwai3 tim4,,,,
㧕,卯,liǔ,lau5,,,,
㧖,戹,è,aak1 ak1 zim1,,,,
㧗,,zǐ,ci2 zi2,,,,
㧘,,zì,zi3,,,,
㧙,,bì,bit1 bit6,,,,
㧚,,wǎ,ngaa5,,,,
㧛,,,hin1,,,,
